X,Y,Label,Usuario,FrameID,Session
347.88174,179.13364,nose,user1,0,20240429152430
371.83868,152.18669,left_eye,user1,0,20240429152430
316.6018,151.1214,right_eye,user1,0,20240429152430
402.01196,175.57199,left_ear,user1,0,20240429152430
273.90228,177.22375,right_ear,user1,0,20240429152430
513.59094,367.6797,left_shoulder,user1,0,20240429152430
166.6653,370.66434,right_shoulder,user1,0,20240429152430
0.0,0.0,left_elbow,user1,0,20240429152430
0.0,0.0,right_elbow,user1,0,20240429152430
0.0,0.0,left_wrist,user1,0,20240429152430
0.0,0.0,right_wrist,user1,0,20240429152430
0.0,0.0,left_hip,user1,0,20240429152430
0.0,0.0,right_hip,user1,0,20240429152430
0.0,0.0,left_knee,user1,0,20240429152430
0.0,0.0,right_knee,user1,0,20240429152430
0.0,0.0,left_ankle,user1,0,20240429152430
0.0,0.0,right_ankle,user1,0,20240429152430
343.19815,186.95273,nose,user1,1,20240429152430
367.74973,155.25302,left_eye,user1,1,20240429152430
310.5969,156.06479,right_eye,user1,1,20240429152430
400.77783,173.18066,left_ear,user1,1,20240429152430
268.44403,178.34537,right_ear,user1,1,20240429152430
512.7215,373.56152,left_shoulder,user1,1,20240429152430
158.61118,377.8639,right_shoulder,user1,1,20240429152430
0.0,0.0,left_elbow,user1,1,20240429152430
0.0,0.0,right_elbow,user1,1,20240429152430
0.0,0.0,left_wrist,user1,1,20240429152430
0.0,0.0,right_wrist,user1,1,20240429152430
0.0,0.0,left_hip,user1,1,20240429152430
0.0,0.0,right_hip,user1,1,20240429152430
0.0,0.0,left_knee,user1,1,20240429152430
0.0,0.0,right_knee,user1,1,20240429152430
0.0,0.0,left_ankle,user1,1,20240429152430
0.0,0.0,right_ankle,user1,1,20240429152430
342.5385,186.1438,nose,user1,2,20240429152430
367.5826,155.82184,left_eye,user1,2,20240429152430
310.5288,156.63379,right_eye,user1,2,20240429152430
400.90738,174.89815,left_ear,user1,2,20240429152430
268.85,179.75694,right_ear,user1,2,20240429152430
510.1136,370.38025,left_shoulder,user1,2,20240429152430
159.52286,371.4868,right_shoulder,user1,2,20240429152430
0.0,0.0,left_elbow,user1,2,20240429152430
0.0,0.0,right_elbow,user1,2,20240429152430
0.0,0.0,left_wrist,user1,2,20240429152430
0.0,0.0,right_wrist,user1,2,20240429152430
0.0,0.0,left_hip,user1,2,20240429152430
0.0,0.0,right_hip,user1,2,20240429152430
0.0,0.0,left_knee,user1,2,20240429152430
0.0,0.0,right_knee,user1,2,20240429152430
0.0,0.0,left_ankle,user1,2,20240429152430
0.0,0.0,right_ankle,user1,2,20240429152430
343.31653,186.94968,nose,user1,3,20240429152430
367.9582,155.79189,left_eye,user1,3,20240429152430
310.69586,156.67227,right_eye,user1,3,20240429152430
