X,Y,Label,Usuario,FrameID,Session
459.21643,356.04327,nose,user1,0,20240429145752
463.92905,351.02002,left_eye,user1,0,20240429145752
453.3618,350.8126,right_eye,user1,0,20240429145752
469.92212,354.76764,left_ear,user1,0,20240429145752
442.4819,354.2365,right_ear,user1,0,20240429145752
482.05957,384.59113,left_shoulder,user1,0,20240429145752
429.7523,384.82492,right_shoulder,user1,0,20240429145752
497.8167,424.5292,left_elbow,user1,0,20240429145752
431.49512,424.86365,right_elbow,user1,0,20240429145752
475.85455,422.34088,left_wrist,user1,0,20240429145752
0.0,0.0,right_wrist,user1,0,20240429145752
0.0,0.0,left_hip,user1,0,20240429145752
0.0,0.0,right_hip,user1,0,20240429145752
0.0,0.0,left_knee,user1,0,20240429145752
0.0,0.0,right_knee,user1,0,20240429145752
0.0,0.0,left_ankle,user1,0,20240429145752
0.0,0.0,right_ankle,user1,0,20240429145752
469.17465,357.22577,nose,user1,1,20240429145752
472.10925,353.0218,left_eye,user1,1,20240429145752
464.10486,351.94336,right_eye,user1,1,20240429145752
0.0,0.0,left_ear,user1,1,20240429145752
449.90967,353.99356,right_ear,user1,1,20240429145752
483.71725,384.1274,left_shoulder,user1,1,20240429145752
431.365,381.835,right_shoulder,user1,1,20240429145752
494.95496,424.0139,left_elbow,user1,1,20240429145752
435.32126,421.65692,right_elbow,user1,1,20240429145752
457.74954,425.09778,left_wrist,user1,1,20240429145752
0.0,0.0,right_wrist,user1,1,20240429145752
473.0161,449.42303,left_hip,user1,1,20240429145752
0.0,0.0,right_hip,user1,1,20240429145752
0.0,0.0,left_knee,user1,1,20240429145752
0.0,0.0,right_knee,user1,1,20240429145752
0.0,0.0,left_ankle,user1,1,20240429145752
0.0,0.0,right_ankle,user1,1,20240429145752
467.98145,354.52695,nose,user1,2,20240429145752
471.49533,350.90057,left_eye,user1,2,20240429145752
463.6218,349.31195,right_eye,user1,2,20240429145752
0.0,0.0,left_ear,user1,2,20240429145752
450.9965,352.30905,right_ear,user1,2,20240429145752
483.4434,384.86264,left_shoulder,user1,2,20240429145752
430.1815,380.78305,right_shoulder,user1,2,20240429145752
495.30667,424.1787,left_elbow,user1,2,20240429145752
432.498,419.42087,right_elbow,user1,2,20240429145752
464.65314,425.3403,left_wrist,user1,2,20240429145752
0.0,0.0,right_wrist,user1,2,20240429145752
470.69998,448.73914,left_hip,user1,2,20240429145752
0.0,0.0,right_hip,user1,2,20240429145752
0.0,0.0,left_knee,user1,2,20240429145752
0.0,0.0,right_knee,user1,2,20240429145752
0.0,0.0,left_ankle,user1,2,20240429145752
0.0,0.0,right_ankle,user1,2,20240429145752
522.8248,405.5655,nose,user1,3,20240429145752
531.42957,395.88452,left_eye,user1,3,20240429145752
516.87946,398.51807,right_eye,user1,3,20240429145752
550.0575,398.31326,left_ear,user1,3,20240429145752
0.0,0.0,right_ear,user1,3,20240429145752
581.83826,447.97284,left_shoulder,user1,3,20240429145752
506.08078,448.4644,right_shoulder,user1,3,20240429145752
0.0,0.0,left_elbow,user1,3,20240429145752
0.0,0.0,right_elbow,user1,3,20240429145752
0.0,0.0,left_wrist,user1,3,20240429145752
0.0,0.0,right_wrist,user1,3,20240429145752
0.0,0.0,left_hip,user1,3,20240429145752
0.0,0.0,right_hip,user1,3,20240429145752
0.0,0.0,left_knee,user1,3,20240429145752
0.0,0.0,right_knee,user1,3,20240429145752
0.0,0.0,left_ankle,user1,3,20240429145752
0.0,0.0,right_ankle,user1,3,20240429145752
472.75873,352.70856,nose,user1,4,20240429145752
475.08777,349.13196,left_eye,user1,4,20240429145752
468.0881,347.53717,right_eye,user1,4,20240429145752
0.0,0.0,left_ear,user1,4,20240429145752
452.88754,351.24933,right_ear,user1,4,20240429145752
484.63824,385.18506,left_shoulder,user1,4,20240429145752
430.68427,380.76,right_shoulder,user1,4,20240429145752
496.843,425.2421,left_elbow,user1,4,20240429145752
433.46063,419.89703,right_elbow,user1,4,20240429145752
461.66666,423.93927,left_wrist,user1,4,20240429145752
0.0,0.0,right_wrist,user1,4,20240429145752
469.98523,448.69434,left_hip,user1,4,20240429145752
0.0,0.0,right_hip,user1,4,20240429145752
0.0,0.0,left_knee,user1,4,20240429145752
0.0,0.0,right_knee,user1,4,20240429145752
0.0,0.0,left_ankle,user1,4,20240429145752
0.0,0.0,right_ankle,user1,4,20240429145752
523.24097,405.63147,nose,user1,5,20240429145752
532.0932,396.97595,left_eye,user1,5,20240429145752
516.8667,398.69138,right_eye,user1,5,20240429145752
549.37726,399.81915,left_ear,user1,5,20240429145752
0.0,0.0,right_ear,user1,5,20240429145752
575.6155,444.2967,left_shoulder,user1,5,20240429145752
505.18893,445.95123,right_shoulder,user1,5,20240429145752
0.0,0.0,left_elbow,user1,5,20240429145752
0.0,0.0,right_elbow,user1,5,20240429145752
0.0,0.0,left_wrist,user1,5,20240429145752
0.0,0.0,right_wrist,user1,5,20240429145752
0.0,0.0,left_hip,user1,5,20240429145752
0.0,0.0,right_hip,user1,5,20240429145752
0.0,0.0,left_knee,user1,5,20240429145752
0.0,0.0,right_knee,user1,5,20240429145752
0.0,0.0,left_ankle,user1,5,20240429145752
0.0,0.0,right_ankle,user1,5,20240429145752
474.36426,350.72498,nose,user1,6,20240429145752
476.42615,347.17017,left_eye,user1,6,20240429145752
469.56506,345.58508,right_eye,user1,6,20240429145752
0.0,0.0,left_ear,user1,6,20240429145752
453.69104,350.06204,right_ear,user1,6,20240429145752
484.19678,386.13354,left_shoulder,user1,6,20240429145752
429.56006,381.4845,right_shoulder,user1,6,20240429145752
496.95584,426.47946,left_elbow,user1,6,20240429145752
429.9969,422.13412,right_elbow,user1,6,20240429145752
472.23462,425.80838,left_wrist,user1,6,20240429145752
0.0,0.0,right_wrist,user1,6,20240429145752
0.0,0.0,left_hip,user1,6,20240429145752
0.0,0.0,right_hip,user1,6,20240429145752
0.0,0.0,left_knee,user1,6,20240429145752
0.0,0.0,right_knee,user1,6,20240429145752
0.0,0.0,left_ankle,user1,6,20240429145752
0.0,0.0,right_ankle,user1,6,20240429145752
478.38818,348.49536,nose,user1,7,20240429145752
479.76138,344.9962,left_eye,user1,7,20240429145752
473.19464,343.2228,right_eye,user1,7,20240429145752
0.0,0.0,left_ear,user1,7,20240429145752
454.86426,348.4916,right_ear,user1,7,20240429145752
485.3669,387.4328,left_shoulder,user1,7,20240429145752
428.90475,381.7218,right_shoulder,user1,7,20240429145752
497.59464,429.22345,left_elbow,user1,7,20240429145752
429.2951,422.88293,right_elbow,user1,7,20240429145752
0.0,0.0,left_wrist,user1,7,20240429145752
0.0,0.0,right_wrist,user1,7,20240429145752
0.0,0.0,left_hip,user1,7,20240429145752
0.0,0.0,right_hip,user1,7,20240429145752
0.0,0.0,left_knee,user1,7,20240429145752
0.0,0.0,right_knee,user1,7,20240429145752
0.0,0.0,left_ankle,user1,7,20240429145752
0.0,0.0,right_ankle,user1,7,20240429145752
475.3296,348.7394,nose,user1,8,20240429145752
477.13693,344.68384,left_eye,user1,8,20240429145752
469.45355,343.5336,right_eye,user1,8,20240429145752
0.0,0.0,left_ear,user1,8,20240429145752
451.895,348.7448,right_ear,user1,8,20240429145752
482.8316,386.72095,left_shoulder,user1,8,20240429145752
429.94672,383.06604,right_shoulder,user1,8,20240429145752
495.1797,428.7804,left_elbow,user1,8,20240429145752
433.37515,425.5836,right_elbow,user1,8,20240429145752
0.0,0.0,left_wrist,user1,8,20240429145752
0.0,0.0,right_wrist,user1,8,20240429145752
0.0,0.0,left_hip,user1,8,20240429145752
0.0,0.0,right_hip,user1,8,20240429145752
0.0,0.0,left_knee,user1,8,20240429145752
0.0,0.0,right_knee,user1,8,20240429145752
0.0,0.0,left_ankle,user1,8,20240429145752
0.0,0.0,right_ankle,user1,8,20240429145752
473.3941,349.5062,nose,user1,9,20240429145752
475.7923,345.3841,left_eye,user1,9,20240429145752
467.63412,344.07565,right_eye,user1,9,20240429145752
0.0,0.0,left_ear,user1,9,20240429145752
450.87253,348.71564,right_ear,user1,9,20240429145752
483.46313,386.76608,left_shoulder,user1,9,20240429145752
429.406,382.55728,right_shoulder,user1,9,20240429145752
494.77182,430.97314,left_elbow,user1,9,20240429145752
432.316,426.58636,right_elbow,user1,9,20240429145752
0.0,0.0,left_wrist,user1,9,20240429145752
0.0,0.0,right_wrist,user1,9,20240429145752
0.0,0.0,left_hip,user1,9,20240429145752
0.0,0.0,right_hip,user1,9,20240429145752
0.0,0.0,left_knee,user1,9,20240429145752
0.0,0.0,right_knee,user1,9,20240429145752
0.0,0.0,left_ankle,user1,9,20240429145752
0.0,0.0,right_ankle,user1,9,20240429145752
471.65186,351.48428,nose,user1,10,20240429145752
474.40295,347.20682,left_eye,user1,10,20240429145752
465.88916,346.03125,right_eye,user1,10,20240429145752
0.0,0.0,left_ear,user1,10,20240429145752
449.82574,350.0517,right_ear,user1,10,20240429145752
482.31754,386.58017,left_shoulder,user1,10,20240429145752
429.27313,382.89276,right_shoulder,user1,10,20240429145752
493.5807,429.93375,left_elbow,user1,10,20240429145752
431.3537,425.73486,right_elbow,user1,10,20240429145752
0.0,0.0,left_wrist,user1,10,20240429145752
0.0,0.0,right_wrist,user1,10,20240429145752
0.0,0.0,left_hip,user1,10,20240429145752
0.0,0.0,right_hip,user1,10,20240429145752
0.0,0.0,left_knee,user1,10,20240429145752
0.0,0.0,right_knee,user1,10,20240429145752
0.0,0.0,left_ankle,user1,10,20240429145752
0.0,0.0,right_ankle,user1,10,20240429145752
469.04913,351.66885,nose,user1,11,20240429145752
472.1877,347.1468,left_eye,user1,11,20240429145752
462.88986,346.20462,right_eye,user1,11,20240429145752
0.0,0.0,left_ear,user1,11,20240429145752
447.1383,350.44452,right_ear,user1,11,20240429145752
482.6823,386.3936,left_shoulder,user1,11,20240429145752
428.3162,383.13614,right_shoulder,user1,11,20240429145752
493.83447,430.028,left_elbow,user1,11,20240429145752
430.57663,425.42844,right_elbow,user1,11,20240429145752
0.0,0.0,left_wrist,user1,11,20240429145752
0.0,0.0,right_wrist,user1,11,20240429145752
0.0,0.0,left_hip,user1,11,20240429145752
0.0,0.0,right_hip,user1,11,20240429145752
0.0,0.0,left_knee,user1,11,20240429145752
0.0,0.0,right_knee,user1,11,20240429145752
0.0,0.0,left_ankle,user1,11,20240429145752
0.0,0.0,right_ankle,user1,11,20240429145752
466.4468,352.2832,nose,user1,12,20240429145752
469.9726,347.7324,left_eye,user1,12,20240429145752
460.32098,346.92303,right_eye,user1,12,20240429145752
0.0,0.0,left_ear,user1,12,20240429145752
445.77768,351.18616,right_ear,user1,12,20240429145752
482.16937,386.07657,left_shoulder,user1,12,20240429145752
428.68216,383.2088,right_shoulder,user1,12,20240429145752
495.3202,428.1335,left_elbow,user1,12,20240429145752
429.16556,423.58856,right_elbow,user1,12,20240429145752
0.0,0.0,left_wrist,user1,12,20240429145752
0.0,0.0,right_wrist,user1,12,20240429145752
0.0,0.0,left_hip,user1,12,20240429145752
0.0,0.0,right_hip,user1,12,20240429145752
0.0,0.0,left_knee,user1,12,20240429145752
0.0,0.0,right_knee,user1,12,20240429145752
0.0,0.0,left_ankle,user1,12,20240429145752
0.0,0.0,right_ankle,user1,12,20240429145752
465.94867,352.61288,nose,user1,13,20240429145752
469.49243,347.92953,left_eye,user1,13,20240429145752
459.7156,347.25012,right_eye,user1,13,20240429145752
0.0,0.0,left_ear,user1,13,20240429145752
445.2545,351.3054,right_ear,user1,13,20240429145752
481.83987,385.86084,left_shoulder,user1,13,20240429145752
428.16248,382.99503,right_shoulder,user1,13,20240429145752
494.1377,428.35083,left_elbow,user1,13,20240429145752
427.05814,423.34933,right_elbow,user1,13,20240429145752
0.0,0.0,left_wrist,user1,13,20240429145752
458.64688,416.56686,right_wrist,user1,13,20240429145752
0.0,0.0,left_hip,user1,13,20240429145752
